Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY26 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Last Inspection Standard,Last Final Rating
SHERBURNE COUNTY JAIL,13880 BUSINESS CENTER DRIVE,ELK RIVER,MN,55330,SPM,USMS IGA,Male,23,42,25,26,10,26,68,4,4,18,6,11,67,53,,ODO,5/2/2024,NDS 2019,Pass
SIOUX COUNTY JAIL,4363 IRONWOOD AVENUE,ORANGE CITY,IA,51041,SPM,USMS IGA,Female/Male,31,6,1,3,3,5,7,0,0,2,2,2,6,9,,,,,
SOUTH CENTRAL REGIONAL JAIL,1001 CENTER WAY,CHARLESTON,WV,25309,PHI,IGSA,Male,9,22,9,4,3,6,29,0,2,4,1,3,30,13,,ODO,9/26/2024,NDS 2019,Pass
SOUTH LOUISIANA ICE PROCESSING CENTER,3843 STAGG AVENUE,BASILE,LA,70515,NOL,DIGSA,Female/Male,46,602,133,187,57,0,1,153,825,93,41,47,799,599,700,ODO,3/6/2025,PBNDS 2011 - 2016 Revisions,Pass
SOUTH TEXAS ICE PROCESSING CENTER,566 VETERANS DRIVE,PEARSALL,TX,78061,SNA,CDF,Female/Male,47,977,322,295,165,471,"1,165",42,80,163,109,336,"1,151",994,"1,350",ODO,2/6/2025,PBNDS 2011 - 2016 Revisions,Pass
SOUTHWESTERN REGIONAL JAIL,13 GASTON CAPERTON DR.,HOLDEN,WV,25625,PHI,IGSA,,7,3,0,0,0,0,2,0,0,0,0,0,2,1,,,,,
ST. CLAIR COUNTY JAIL,1170 MICHIGAN ROAD,PORT HURON,MI,48060,DET,IGSA,Male,39,36,7,3,4,9,41,0,0,4,2,4,38,27,,ODO,9/19/2024,NDS 2019,Pass
STE. GENEVIEVE COUNTY SHERIFF/JAIL,5 BASLER DR.,STE. GENEVIEVE,MO,63670,CHI,USMS IGA,Female/Male,21,80,14,16,8,17,91,1,10,7,8,18,86,56,,,,,
STEWART DETENTION CENTER,146 CCA ROAD,LUMPKIN,GA,31815,ATL,DIGSA,Female/Male,50,924,496,304,285,567,"1,128",61,254,329,199,229,"1,252","1,258","1,600",ODO,3/20/2025,PBNDS 2011 - 2016 Revisions,Pass
STRAFFORD COUNTY CORRECTIONS,266 COUNTY FARM ROAD,DOVER,NH,3820,BOS,IGSA,Female/Male,44,40,3,55,47,43,82,2,17,29,12,11,94,69,,ODO,3/27/2025,NDS 2019,Pass
SWEETWATER COUNTY JAIL,50140 UNITED STATES HIGHWAY 191 SOUTH,ROCK SPRINGS,WY,82935,DEN,USMS IGA,Female/Male,9,3,2,3,0,4,4,0,0,3,0,1,4,6,,ODO OASIP,5/8/2025,NDS 2019,Pass
T DON HUTTO DETENTION CENTER,1001 WELCH STREET,TAYLOR,TX,76574,SNA,CDF,Male,39,267,45,88,56,117,339,0,0,53,46,59,297,269,461,ODO,12/19/2024,PBNDS 2011 - 2016 Revisions,Pass
TOM GREEN COUNTY JAIL,122 WEST HARRIS AVENUE,SAN ANGELO,TX,76903,DAL,USMS IGA,Female/Male,1,1,0,0,0,0,1,0,0,0,0,0,1,1,,,,,
TOOELE COUNTY JAIL,47 SOUTH MAIN STREET,TOOELE,UT,84074,SLC,USMS IGA,Female/Male,3,3,5,1,1,2,6,0,1,1,1,2,4,4,,,Scheduled FY27,,
"TORRANCE/ESTANCIA, NM",209 COUNTY ROAD 49,ESTANCIA,NM,87016,ELP,IGSA,Male,105,295,71,0,0,45,322,0,0,7,7,34,318,178,505,ODO,10/24/2024,PBNDS 2011 - 2016 Revisions,Pass
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),300 NORTH DENVER AVENUE,TULSA,OK,74103,DAL,IGSA,Female/Male,6,33,4,3,1,6,31,0,5,2,3,3,34,18,,ODO,9/19/2024,NDS 2019,Pass
TURNER GUILFORD KNIGHT (TGK) JAIL,7000 NW 41ST ST.,MIAMI,FL,33166,MIA,IGSA,Female/Male,1,4,1,3,2,2,6,0,1,2,0,0,7,4,,,,,
TWO BRIDGES REGIONAL JAIL,522 BATH RD,WISCASSET,ME,4578,BOS,USMS IGA,Male,208,0,0,3,5,3,5,0,0,2,0,1,5,6,,,Scheduled FY26,,
UINTA COUNTY JAIL,77 COUNTY ROAD 109,EVANSTON,WY,82930,SLC,USMS IGA,Female/Male,4,10,9,2,2,5,17,0,1,4,2,4,12,11,,PRE-OCC,6/27/2025,FPBDS,Pass
VAL VERDE CORRECTIONAL FACILITY,253 FARM TO MARKET 2523,DEL RIO,TX,78840,SNA,USMS IGA,Female/Male,1,0,2,0,1,2,1,1,0,0,1,2,0,3,,ODO,12/8/2022,NDS 2019,Pass
VICTORIA COUNTY JAIL,101 NORTH GLASS STREET,VICTORIA,TX,77901,HOU,USMS IGA,Female/Male,,0,14,0,0,0,14,0,0,0,0,0,14,0,,,,,
WALTON COUNTY JAIL,40 SHERIFF CIR,DEFUNIAK SPRINGS,FL,32433,MIA,USMS IGA,Female/Male,3,19,4,2,3,5,23,0,0,3,2,2,21,11,,,,,
WARD COUNTY JAIL,P.O. BOX 907,MINOT,ND,58702,SPM,USMS IGA,Female/Male,3,1,1,0,0,0,1,0,0,0,0,0,1,1,,ORSA,1/23/2025,ORSA NDS 2019,Pass
WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FACILITY),750 SOUTH 5300 WEST,HURRICANE,UT,84737,SLC,USMS IGA,Female/Male,6,8,4,0,0,3,9,0,0,3,1,2,6,7,,ODO OASIP,4/24/2025,ORSA NDS 2019,Pass
WASHOE COUNTY JAIL,911 PARR BLVD 775 328 3308,RENO,NV,89506,SLC,USMS IGA,Female/Male,24,7,15,16,13,18,31,0,2,16,4,7,24,29,,ODO,11/7/2024,NDS 2019,Pass
WAUKESHA COUNTY JAIL,515 WEST MORELAND,WAUKESHA,WI,53186,CHI,USMS IGA,Female/Male,2,2,0,1,1,1,2,0,0,0,0,0,2,2,,ODO OASIP,7/10/2025,NDS 2019,Pass
WEBB COUNTY DETENTION CENTER (CCA),9998 SOUTH HIGHWAY 83,LAREDO,TX,78041,HLG,DIGSA,Female/Male,70,330,19,43,51,48,387,2,6,22,15,28,379,275,250,ODO,2/6/2025,PBNDS 2011 - 2016 Revisions,Pass
WEBER COUNTY JAIL,721 WEST 12TH STREET,OGDEN,UT,84404,SLC,USMS IGA,Female/Male,3,4,2,0,0,2,4,0,0,1,1,1,3,4,,,,,
WESTERN REGIONAL JAIL AND CORRECTIONAL FACILITY,1 O’HANLON PL,BARBOURSVILLE,WV,25504,PHI,IGSA,Female/Male,6,11,1,1,0,1,11,0,1,0,0,0,12,2,,,,,
WESTERN TENNESSEE DETENTION FACILITY,6299 FINDE NAIFEH DRIVE,MASON,TN,38049,NOL,DIGSA,Female/Male,17,224,27,27,16,34,256,0,4,20,11,26,236,120,450,,,,
WINN CORRECTIONAL CENTER,560 GUM SPRING ROAD,WINNFIELD,LA,71483,NOL,DIGSA,Male,36,938,176,259,185,365,"1,194",0,0,194,106,139,"1,120","1,053",946,ODO,1/16/2025,PBNDS 2011 - 2016 Revisions,Pass
WOODBURY COUNTY JAIL,407 7TH STREET,SIOUX CITY,IA,51101,SPM,USMS IGA,Female/Male,24,27,11,10,15,25,31,2,6,14,6,10,34,39,,ODO OASIP,6/26/2025,FPBDS,Pass
WYATT DETENTION CENTER,950 HIGH STREET,CENTRAL FALLS,RI,2863,BOS,USMS IGA,Female/Male,36,39,6,34,34,38,75,0,1,28,7,8,70,54,,ODO,9/19/2024,NDS 2019,Pass
