Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
SENECA COUNTY JAIL,3040 SOUTH STATE HIGHWAY 100,TIFFIN,OH,44883,DET,IGSA,Female/Male,38,26,11,11,11,29,27,2,2,6,2,3,49,49,,ODO,10/31/2024,,NDS 2019,Pass
SOUTH CENTRAL REGIONAL JAIL,1001 CENTER WAY,CHARLESTON,WV,25309,PHI,IGSA,Male,11,5,3,4,1,5,8,0,0,0,1,1,11,10,,ODO,9/26/2024,Scheduled,NDS 2019,Pass
ST. CLAIR COUNTY JAIL,1170 MICHIGAN ROAD,PORT HURON,MI,48060,DET,IGSA,Male,44,39,12,8,6,20,45,0,0,4,4,3,54,57,,ODO,9/19/2024,Scheduled,NDS 2019,Pass
STE. GENEVIEVE COUNTY SHERIFF/JAIL,5 BASLER DR.,STE. GENEVIEVE,MO,63670,CHI,USMS IGA,Female/Male,17,17,10,10,3,13,23,0,3,1,0,2,37,29,,,,,,
STRAFFORD COUNTY CORRECTIONS,266 COUNTY FARM ROAD,DOVER,NH,3820,BOS,IGSA,Female/Male,52,17,2,54,39,44,53,5,10,10,4,5,94,75,,ODO,3/27/2025,,NDS 2019,Pass
TWO BRIDGES REGIONAL JAIL,522 BATH RD,WISCASSET,ME,4578,BOS,USMS IGA,Male,50,0,0,5,6,5,6,0,0,2,0,1,8,8,,,,,,
WAUKESHA COUNTY JAIL,515 WEST MORELAND,WAUKESHA,WI,53186,CHI,USMS IGA,Female/Male,2,1,0,1,0,1,1,0,0,0,0,0,2,1,,ORSA,7/10/2025,,ORSA NDS 2019,Pass
WYATT DETENTION CENTER,950 HIGH STREET,CENTRAL FALLS,RI,2863,BOS,USMS IGA,Male,41,21,4,46,41,51,57,2,2,10,2,1,98,87,,ODO,9/19/2024,,NDS 2019,Pass
"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,AZ,85232,PHO,USMS IGA,Male,56,95,51,174,152,285,187,0,0,43,17,22,390,352,,ODO,12/12/2024,,NDS 2019,Pass
ELOY FEDERAL CONTRACT FACILITY,1705 EAST HANNA RD.,ELOY,AZ,85131,PHO,DIGSA,Female/Male,44,"1,003",90,154,154,206,559,102,535,119,57,90,"1,136",918,900,ODO,10/31/2024,,PBNDS 2011 - 2016 Revised,Pass
FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85132,PHO,SPC,Male,12,295,86,4,3,98,290,0,1,2,5,31,350,267,392,ODO,2/13/2025,,PBNDS 2011 - 2016 Revised,Pass
FLORENCE STAGING FACILITY,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85232,PHO,STAGING,Male,2,98,49,35,16,77,112,4,6,5,4,6,183,159,,ODO,6/14/2024,,PBNDS 2011 - 2016 Revised,Pass
LA PAZ COUNTY ADULT DETENTION FACILITY,1109 ARIZONA AVE.,PARKER,AZ,85344,PHO,USMS IGA,Female/Male,2,0,1,0,0,1,0,0,0,0,0,0,1,1,,ODO,7/31/2024,,NDS 2019,Pass
NORTHWEST ICE PROCESSSING CENTER,1623 E. J STREET,TACOMA,WA,98421,SEA,CDF,Female/Male,69,597,134,235,214,413,640,47,80,154,40,31,955,965,"1,181",ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
HONOLULU FEDERAL DETENTION CENTER,351 ELLIOTT ST.,HONOLULU,HI,96819,SFR,BOP,Female/Male,43,10,17,17,4,21,20,1,6,11,5,3,28,35,,,,,,
MESA VERDE ICE PROCESSING CENTER,425 GOLDEN STATE AVE,BAKERSFIELD,CA,93301,SFR,CDF,Female/Male,66,56,13,23,41,68,42,3,20,4,2,2,125,83,320,ODO,4/17/2025,,PBNDS 2011 - 2016 Revised,Pass
CALIFORNIA CITY CORRECTIONAL CENTER,22844 VIRGINIA BOULEVARD,CALIFORNIA CITY,CA,93505,SFR,CDF,Female/Male,5,9,1,4,6,9,10,0,0,7,1,1,10,8,,Pre-Occ,4/18/2025,,NDS 2019,Pass
GOLDEN STATE ANNEX,611 FRONTAGE RD,MCFARLAND,CA,93250,SFR,CDF,Female/Male,111,215,67,140,174,297,299,0,0,45,13,10,528,371,560,ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
DEPARTMENT OF CORRECTIONS HAGATNA,203 ASPINAL AVE. PO BOX 3236,HAGATNA,GU,96910,SFR,USMS IGA,Male,37,1,4,3,0,4,4,0,0,3,1,0,4,5,,ORSA,4/11/2025,,ORSA NDS 2019,Pass
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),"VICENTE T. SEMAN BLDG, CIVIC CENTER",SAIPAN,MP,96950,SFR,USMS IGA,Female/Male,39,3,4,1,0,3,4,1,1,3,1,0,6,8,,ORSA,4/11/2025,,ORSA NDS 2019,Pass
ELMORE COUNTY JAIL,2255 E. 8TH NORTH,MOUNTAIN HOME,ID,83647,SLC,USMS IGA,Female/Male,3,1,1,0,0,1,0,0,0,0,0,0,1,1,,ODO,8/20/2025,,FPBDS,Pending Final Report
HENDERSON DETENTION,18 E BASIC ROAD,HENDERSON,NV,89015,SLC,USMS IGA,Female/Male,21,22,24,22,9,33,27,9,9,9,6,5,58,62,,ODO,3/21/2024,,NDS 2019,Pass
JEFFERSON COUNTY JAIL,219 EAST FREMONT AVENUE,RIGBY,ID,83442,SLC,IGSA,Female/Male,3,1,2,1,1,4,1,0,0,0,0,0,5,4,,ODO,7/18/2024,,NDS 2019,Pass
NEVADA SOUTHERN DETENTION CENTER,2190 EAST MESQUITE AVENUE,PAHRUMP,NV,89060,SLC,USMS CDF,Male,31,129,116,74,45,218,146,0,0,50,24,29,262,282,,ODO,3/27/2025,,NDS 2019,Pass
SALT LAKE COUNTY METRO JAIL,3415 SOUTH 900 WEST,SALT LAKE CITY,UT,84119,SLC,USMS IGA,Female/Male,2,1,5,0,0,4,2,0,0,1,0,0,6,6,,ODO,9/27/2024,,NDS 2019,Fail
TOOELE COUNTY JAIL,47 SOUTH MAIN STREET,TOOELE,UT,84074,SLC,USMS IGA,Female/Male,2,1,1,0,0,1,1,0,0,0,0,0,3,2,,ORSA,12/5/2024,,ORSA NDS 2019,Pass
UINTA COUNTY JAIL,77 COUNTY ROAD 109,EVANSTON,WY,82930,SLC,USMS IGA,Female/Male,3,2,2,0,0,2,2,0,0,0,0,0,5,3,,Pre-Occ,6/23/2025,,FPBDS,Pass
WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC,750 SOUTH 5300 WEST,HURRICANE,UT,84737,SLC,USMS IGA,Female/Male,6,1,2,0,0,2,1,0,0,0,0,0,3,2,,ORSA,,,ORSA NDS 2019,Pass
WASHOE COUNTY JAIL,911 PARR BLVD 775 328 3308,RENO,NV,89506,SLC,USMS IGA,Female/Male,8,2,4,6,5,11,4,0,0,3,1,1,11,13,,ODO,11/7/2024,,NDS 2019,Pass
T DON HUTTO DETENTION CENTER,1001 WELCH STREET,TAYLOR,TX,76574,SNA,DIGSA,Male,49,199,41,119,70,232,196,0,0,67,54,91,216,340,461,ODO,12/19/2024,,PBNDS 2011 - 2016 Revised,Pass
KARNES COUNTY IMMIGRATION PROCESSING CENTER,409 FM 1144,KARNES CITY,TX,78118,SNA,DIGSA,Female/Male,34,887,78,3,0,58,629,22,260,1,7,44,916,615,928,ODO,6/5/2025,,PBNDS 2011 - 2016 Revised,Pass
LA SALLE COUNTY REGIONAL DETENTION CENTER,832 EAST TEXAS STATE HIGHWAY 44,ENCINAL,TX,78019,SNA,USMS IGA,Male,33,98,4,0,0,10,89,1,2,0,0,2,100,65,,ORSA,2/7/2025,,ORSA NDS 2019,Pending Final Rating
SOUTH TEXAS ICE PROCESSING CENTER,566 VETERANS DRIVE,PEARSALL,TX,78061,SNA,CDF,Female/Male,54,"1,173",180,239,102,456,"1,173",33,33,109,91,217,"1,278","1,267","1,350",ODO,2/6/2025,,PBNDS 2011 - 2016 Revised,Pass
DILLEY IMMIGRATION PROCESSING CENTER,300 EL RANCHO WAY,DILLEY,TX,78017,SNA,FAMILY,Female/Male,20,160,1,0,0,1,71,1,90,0,0,1,161,110,"1,920",ODO,,,FRS,Pass
OTAY MESA DETENTION CENTER,7488 CALZADA DE LA FUENTE,SAN DIEGO,CA,92154,SND,CDF,Female/Male,33,829,423,70,67,208,917,19,245,77,34,42,"1,237",717,750,ODO,11/7/2024,,PBNDS 2011 - 2016 Revised,Pass
IMPERIAL REGIONAL DETENTION FACILITY,1572 GATEWAY,CALEXICO,CA,92231,SND,CDF,Female/Male,61,549,39,34,42,100,505,2,57,32,15,15,602,305,640,ODO,1/16/2025,,PBNDS 2011 - 2016 Revised,Pass
SAN LUIS REGIONAL DETENTION CENTER,406 NORTH AVENUE D,SAN LUIS,AZ,85349,SND,IGSA,Female/Male,18,157,42,11,19,35,147,3,43,15,3,3,207,159,100,ODO,9/26/2024,,NDS 2019,Pass
BURLEIGH COUNTY,P.O. BOX 1416,BISMARCK,ND,58502,SPM,USMS IGA,Female/Male,16,3,2,1,0,2,4,0,1,0,1,0,6,5,,,,,,
CASS COUNTY JAIL,336 MAIN STREET,PLATTSMOUTH,NE,68048,SPM,USMS IGA,Female/Male,21,3,2,3,1,5,2,0,1,1,0,1,6,5,,,,,,
DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,NE,68731,SPM,USMS IGA,Female/Male,18,5,7,8,3,14,6,1,2,1,1,1,20,19,,ORSA,12/7/2024,,ORSA NDS 2019,Pass
DOUGLAS COUNTY,1409 HAMMOND AVENUE,SUPERIOR,WI,54880,SPM,USMS IGA,Female/Male,4,1,2,1,0,1,2,0,0,0,0,0,3,1,,ORSA,2/10/2025,,ORSA NDS 2019,Pending Final Rating
